,Tên xe,Năm SX,Kiểu dáng,Tình trạng,Xuất xứ,Tỉnh thành,Km đã đi,Quận huyện,Hộp số,Nhiên liệu
417,"  Hyundai Tucson 2.0 Đặc biệt 2023
             ",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước, Tỉnh thành Hà Nội ,None, Quận huyện Hà Đông ,Hộp số Số tự động,Nhiên liệu Xăng
418,"  Lexus GS 350 2008
             ",Năm SX 2008,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu, Tỉnh thành Hà Nội ,Km đã đi 128.748 km, Quận huyện Cầu Giấy ,Hộp số Số tự động,Nhiên liệu Xăng
419,"  Mercedes-Benz S500 2017
             ",Năm SX 2017,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước, Tỉnh thành Hà Nội ,Km đã đi 61.000 km, Quận huyện Cầu Giấy ,Hộp số Số tự động,Nhiên liệu Xăng
420,"  Mercedes-Benz C200 2.0 AT 2019
             ",Năm SX 2019,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu, Tỉnh thành Tp.HCM ,Km đã đi 58.000 km, Quận huyện Quận 7 ,Hộp số Số tự động,Nhiên liệu Xăng
421,"  Ford Focus 2007
             ",Năm SX 2007,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước, Tỉnh thành Hà Nội ,Km đã đi 8.000 km, Quận huyện Hà Đông ,Hộp số Số tay,Nhiên liệu Xăng
422,"  Suzuki Swift GLX 1.2 CVT 2022
             ",Năm SX 2022,Kiểu dáng Hatchback,Tình trạng Xe mới,Xuất xứ Nhập khẩu, Tỉnh thành Tp.HCM ,None, Quận huyện Quận 2 ,Hộp số Số tự động,Nhiên liệu Xăng
423,"  Ford Focus 1.5L Ecoboost Titanium 2016
             ",Năm SX 2016,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước, Tỉnh thành Tp.HCM ,Km đã đi 48.000 km, Quận huyện Tân Phú ,Hộp số Số tự động,Nhiên liệu Xăng
424,"  Kia Carnival 2.2D Luxury 2022
             ",Năm SX 2022,Kiểu dáng MPV,Tình trạng Xe mới,Xuất xứ Trong nước, Tỉnh thành Tp.HCM ,None, Quận huyện Thủ Đức ,Hộp số Số tự động,Nhiên liệu Diesel
425,"  Hyundai Accent 1.4 AT đặc biệt 2021
             ",Năm SX 2021,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước, Tỉnh thành Hải Dương ,Km đã đi 19.000 km, Quận huyện Kinh Môn ,Hộp số Số tự động,Nhiên liệu Xăng
426,"  Suzuki Ertiga Hybrid Ertiga AT 2022
             ",Năm SX 2022,Kiểu dáng MPV,Tình trạng Xe mới,Xuất xứ Nhập khẩu, Tỉnh thành Tp.HCM ,None, Quận huyện Quận 2 ,Hộp số Số tự động,Nhiên liệu Hybrid
427,"  Suzuki Swift GLX 1.2 CVT 2022
             ",Năm SX 2022,Kiểu dáng City Car,Tình trạng Xe mới,Xuất xứ Nhập khẩu, Tỉnh thành Tp.HCM ,None, Quận huyện Quận 2 ,Hộp số Số tự động,Nhiên liệu Xăng
428,"  Hyundai Santa Fe 2.4L Xăng cao cấp 2022
             ",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước, Tỉnh thành Tp.HCM ,None, Quận huyện Quận 6 ,Hộp số Số tự động,Nhiên liệu Xăng
429,"

                Mazda 3 1.5L Luxury 2015
            
",Năm SX 2015,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 55.000 km,"
Quận huyện
Hoàng Mai
",Hộp số Số tự động,Nhiên liệu Xăng
430,"

                Toyota Corolla Cross 1.8 HV 2020
            
",Năm SX 2020,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Vĩnh Phúc
",Km đã đi 40.000 km,"
Quận huyện
Bình Xuyên
",Hộp số Số tự động,Nhiên liệu Hybrid
431,"

                Suzuki Ertiga Hybrid Ertiga AT 2022
            
",Năm SX 2022,Kiểu dáng MPV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Tp.HCM
",None,"
Quận huyện
Quận 2
",Hộp số Số tự động,Nhiên liệu Hybrid
432,"

                Toyota Vios 1.5E MT 2014
            
",Năm SX 2014,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hải Phòng
",None,"
Quận huyện
An Dương
",Hộp số Số tay,Nhiên liệu Xăng
433,"

                Toyota Vios 1.5E MT 2014
            
",Năm SX 2014,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hòa Bình
",None,"
Quận huyện
Hòa Bình
",Hộp số Số tay,Nhiên liệu Xăng
434,"

                VinFast VF8 Eco 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Điện
435,"  Kia Carnival 2.2D Luxury 2022
             ",Năm SX 2022,Kiểu dáng MPV,Tình trạng Xe mới,Xuất xứ Trong nước, Tỉnh thành Tp.HCM ,None, Quận huyện Thủ Đức ,Hộp số Số tự động,Nhiên liệu Diesel
436,"  Hyundai Accent 1.4 AT đặc biệt 2021
             ",Năm SX 2021,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước, Tỉnh thành Hải Dương ,Km đã đi 19.000 km, Quận huyện Kinh Môn ,Hộp số Số tự động,Nhiên liệu Xăng
437,"  Suzuki Ertiga Hybrid Ertiga AT 2022
             ",Năm SX 2022,Kiểu dáng MPV,Tình trạng Xe mới,Xuất xứ Nhập khẩu, Tỉnh thành Tp.HCM ,None, Quận huyện Quận 2 ,Hộp số Số tự động,Nhiên liệu Hybrid
438,"  Suzuki Swift GLX 1.2 CVT 2022
             ",Năm SX 2022,Kiểu dáng City Car,Tình trạng Xe mới,Xuất xứ Nhập khẩu, Tỉnh thành Tp.HCM ,None, Quận huyện Quận 2 ,Hộp số Số tự động,Nhiên liệu Xăng
439,"  Hyundai Santa Fe 2.4L Xăng cao cấp 2022
             ",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước, Tỉnh thành Tp.HCM ,None, Quận huyện Quận 6 ,Hộp số Số tự động,Nhiên liệu Xăng
440,"  Mazda 3 1.5L Luxury 2015
             ",Năm SX 2015,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước, Tỉnh thành Hà Nội ,Km đã đi 55.000 km, Quận huyện Hoàng Mai ,Hộp số Số tự động,Nhiên liệu Xăng
441,"  Toyota Corolla Cross 1.8 HV 2020
             ",Năm SX 2020,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu, Tỉnh thành Vĩnh Phúc ,Km đã đi 40.000 km, Quận huyện Bình Xuyên ,Hộp số Số tự động,Nhiên liệu Hybrid
442,"  Suzuki Ertiga Hybrid Ertiga AT 2022
             ",Năm SX 2022,Kiểu dáng MPV,Tình trạng Xe mới,Xuất xứ Nhập khẩu, Tỉnh thành Tp.HCM ,None, Quận huyện Quận 2 ,Hộp số Số tự động,Nhiên liệu Hybrid
443,"  Toyota Vios 1.5E MT 2014
             ",Năm SX 2014,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước, Tỉnh thành Hải Phòng ,None, Quận huyện An Dương ,Hộp số Số tay,Nhiên liệu Xăng
444,"  Toyota Vios 1.5E MT 2014
             ",Năm SX 2014,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước, Tỉnh thành Hòa Bình ,None, Quận huyện Hòa Bình ,Hộp số Số tay,Nhiên liệu Xăng
445,"  VinFast VF8 Eco 2023
             ",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước, Tỉnh thành Hà Nội ,None, Quận huyện Long Biên ,Hộp số Số tự động,Nhiên liệu Điện
446,"

                Mazda 3 Sedan 1.5L Luxury 2022
            
",Năm SX 2022,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Tp.HCM
",Km đã đi 14.000 km,"
Quận huyện
Tân Phú
",Hộp số Số tự động,Nhiên liệu Xăng
447,"

                Suzuki XL7 GLX 2021
            
",Năm SX 2021,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Tp.HCM
",Km đã đi 13.000 km,"
Quận huyện
Tân Phú
",Hộp số Số tự động,Nhiên liệu Xăng
448,"

                Infiniti G37 2009
            
",Năm SX 2009,Kiểu dáng Convertible,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Tp.HCM
",Km đã đi 49.000 km,"
Quận huyện
Thủ Đức
",Hộp số Số tự động,Nhiên liệu Xăng
449,"

                Toyota Vios 1.5E MT 2015
            
",Năm SX 2015,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hải Phòng
",None,"
Quận huyện
An Lão
",Hộp số Số tay,Nhiên liệu Xăng
450,"  Land Rover Range Rover  2013
             ",Năm SX 2013,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu, Tỉnh thành Tp.HCM ,Km đã đi 90.000 km, Quận huyện Thủ Đức ,Hộp số Số tự động,Nhiên liệu Xăng
451,"  Hyundai Accent 1.4 MT 2019
             ",Năm SX 2019,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước, Tỉnh thành Hải Phòng ,Km đã đi 46.000 km, Quận huyện An Lão ,Hộp số Số tay,Nhiên liệu Xăng
452,"  Bentley Continental 2008
             ",Năm SX 2008,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu, Tỉnh thành Tp.HCM ,Km đã đi 46.000 km, Quận huyện Quận 6 ,Hộp số Số tự động,Nhiên liệu Xăng
453,"  Subaru Forester 2.0i-S EyeSight 2022
             ",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu, Tỉnh thành Tp.HCM ,None, Quận huyện Quận 7 ,Hộp số Số tự động,Nhiên liệu Xăng
454,"

                Toyota Fortuner 2009
            
",Năm SX 2009,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hải Dương
",None,"
Quận huyện
Hải Dương
",Hộp số Số tự động,Nhiên liệu Xăng
455,"

                Subaru Forester 2.0i-S EyeSight 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Hoàng Mai
",Hộp số Số tự động,Nhiên liệu Xăng
456,"

                Subaru Forester 2.0i-S EyeSight 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Hoàng Mai
",Hộp số Số tự động,Nhiên liệu Xăng
457,"

                Ford Everest Titanium 2.0 AT 4x2 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Tp.HCM
",None,"
Quận huyện
Quận 2
",Hộp số Số tự động,Nhiên liệu Xăng
458,"

                Toyota Corolla Cross 1.8 V  2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hải Phòng
",None,"
Quận huyện
Ngô Quyền
",Hộp số Số tự động,Nhiên liệu Xăng
459,"

                Toyota Innova 2.0E 2019
            
",Năm SX 2019,Kiểu dáng MPV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Bình Dương
",Km đã đi 55.000 km,"
Quận huyện
Thuận An
",Hộp số Số tay,Nhiên liệu Xăng
460,"

                BMW 528i GT 2016
            
",Năm SX 2016,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Tp.HCM
",Km đã đi 73.000 km,"
Quận huyện
Quận 7
",Hộp số Số tự động,Nhiên liệu Xăng
461,"

                Hyundai Stargazer 1.5 AT Đặc biệt 2023
            
",Năm SX 2023,Kiểu dáng MPV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Tp.HCM
",None,"
Quận huyện
Thủ Đức
",Hộp số Số tự động,Nhiên liệu Xăng
462,"

                Hyundai Grand i10 Hatchback 1.2 AT 2022
            
",Năm SX 2022,Kiểu dáng Hatchback,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Tp.HCM
",None,"
Quận huyện
Thủ Đức
",Hộp số Số tự động,Nhiên liệu Xăng
463,"

                Toyota Corolla Cross 1.8 G 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hải Phòng
",None,"
Quận huyện
Ngô Quyền
",Hộp số Số tự động,Nhiên liệu Xăng
464,"

                Ford Ranger XLS 2.0L 4x4 AT 2023
            
",Năm SX 2023,Kiểu dáng Bán Tải,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Khánh Hòa
",None,"
Quận huyện
Nha Trang
",Hộp số Số tự động,Nhiên liệu Diesel
465,"

                Porsche Panamera  2019
            
",Năm SX 2019,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Tp.HCM
",Km đã đi 15.000 km,"
Quận huyện
Quận 10
",Hộp số Số tự động,Nhiên liệu Xăng
466,"

                Lexus RX 300 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 4.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
467,"

                Hyundai Accent 1.4 AT 2023
            
",Năm SX 2023,Kiểu dáng Sedan,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Tp.HCM
",None,"
Quận huyện
Thủ Đức
",Hộp số Số tự động,Nhiên liệu Xăng
468,"

                Hyundai Santa Fe 2.2 Dầu Cao cấp 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Tp.HCM
",None,"
Quận huyện
Thủ Đức
",Hộp số Số tự động,Nhiên liệu Diesel
469,"

                Suzuki Swift GLX 1.2 CVT 2019
            
",Năm SX 2019,Kiểu dáng Hatchback,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Bà Rịa Vũng Tàu
",Km đã đi 25.000 km,"
Quận huyện
Vũng Tàu
",Hộp số Số tự động,Nhiên liệu Xăng
470,"

                Toyota Corolla Cross 1.8 HV 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hải Phòng
",None,"
Quận huyện
Ngô Quyền
",Hộp số Số tự động,Nhiên liệu Hybrid
471,"

                Honda City 1.5 TOP CVT 2020
            
",Năm SX 2020,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 21.197 km,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
472,"

                Hyundai Grand i10 Sedan 1.2 MT 2019
            
",Năm SX 2019,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 60.000 km,"
Quận huyện
Thanh Xuân
",Hộp số Số tay,Nhiên liệu Xăng
473,"

                Peugeot 2008 Active 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hải Phòng
",None,"
Quận huyện
Ngô Quyền
",Hộp số Số tự động,Nhiên liệu Xăng
474,"

                Peugeot 2008 GT Line 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hải Phòng
",None,"
Quận huyện
Ngô Quyền
",Hộp số Số tự động,Nhiên liệu Xăng
475,"

                Peugeot 3008 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hải Phòng
",None,"
Quận huyện
Ngô Quyền
",Hộp số Số tự động,Nhiên liệu Xăng
476,"

                Mercedes-Benz GLC 200 4Matic 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Tp.HCM
",Km đã đi 18.462 km,"
Quận huyện
Quận 7
",Hộp số Số tự động,Nhiên liệu Xăng
477,"

                Porsche Macan 2.0 2016
            
",Năm SX 2016,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 50.000 km,"
Quận huyện
Ba Đình
",Hộp số Số tự động,Nhiên liệu Xăng
478,"

                Ford Ranger XLS 2.2L 4x2 MT 2018
            
",Năm SX 2018,Kiểu dáng Bán Tải,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Tp.HCM
",Km đã đi 40.000 km,"
Quận huyện
Tân Phú
",Hộp số Số tay,Nhiên liệu Diesel
479,"

                Toyota Vios 1.5G AT 2022
            
",Năm SX 2022,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Nam Từ Liêm
",Hộp số Số tự động,Nhiên liệu Xăng
480,"

                Kia Seltos 1.4 Premium 2020
            
",Năm SX 2020,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 36.000 km,"
Quận huyện
Nam Từ Liêm
",Hộp số Số tự động,Nhiên liệu Xăng
481,"

                Mitsubishi Triton 4×4 AT MIVEC PREMIUM 2020
            
",Năm SX 2020,Kiểu dáng Bán Tải,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 35.000 km,"
Quận huyện
Nam Từ Liêm
",Hộp số Số tự động,Nhiên liệu Diesel
482,"

                Toyota Veloz Cross 1.5 CVT TOP 2023
            
",Năm SX 2023,Kiểu dáng MPV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hải Phòng
",None,"
Quận huyện
Ngô Quyền
",Hộp số Số tự động,Nhiên liệu Xăng
483,"

                Mazda CX-5  2017
            
",Năm SX 2017,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hải Dương
",Km đã đi 90.000 km,"
Quận huyện
Kinh Môn
",Hộp số Số tự động,Nhiên liệu Xăng
484,"

                Mitsubishi Outlander 2.0 CVT 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
485,"

                Mitsubishi Xpander Cross 1.5 AT 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
486,"

                Mitsubishi Triton Athlete 4x2 AT 2022
            
",Năm SX 2022,Kiểu dáng Bán Tải,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Diesel
487,"

                Mazda CX-9  2015
            
",Năm SX 2015,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 68.000 km,"
Quận huyện
Thanh Xuân
",Hộp số Số tự động,Nhiên liệu Xăng
488,"

                Mitsubishi Attrage CVT 2023
            
",Năm SX 2023,Kiểu dáng Sedan,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Long Biên
",Hộp số Số tự động,Nhiên liệu Xăng
489,"

                Honda City 1.5 CVT 2016
            
",Năm SX 2016,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 80.000 km,"
Quận huyện
Thanh Xuân
",Hộp số Số tự động,Nhiên liệu Xăng
490,"

                Honda CR-V 2.4 AT 2015
            
",Năm SX 2015,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 80.000 km,"
Quận huyện
Thanh Xuân
",Hộp số Số tự động,Nhiên liệu Xăng
491,"

                Toyota Veloz Cross 1.5 CVT 2023
            
",Năm SX 2023,Kiểu dáng MPV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hải Phòng
",None,"
Quận huyện
Ngô Quyền
",Hộp số Số tự động,Nhiên liệu Xăng
492,"

                Mitsubishi Xpander 1.5 AT  2018
            
",Năm SX 2018,Kiểu dáng MPV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",Km đã đi 60.000 km,"
Quận huyện
Nam Từ Liêm
",Hộp số Số tự động,Nhiên liệu Xăng
493,"

                Toyota Veloz Cross 1.5 CVT 2023
            
",Năm SX 2023,Kiểu dáng MPV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hải Phòng
",None,"
Quận huyện
Ngô Quyền
",Hộp số Số tự động,Nhiên liệu Xăng
494,"

                Ford Everest Titanium 2.0L AT 4WD 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Đống Đa
",Hộp số Số tự động,Nhiên liệu Xăng
495,"

                Toyota Corolla Cross 1.8 V  2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Hoàn Kiếm
",Hộp số Số tự động,Nhiên liệu Xăng
496,"

                Suzuki XL7 GLX 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Tp.HCM
",Km đã đi 12.000 km,"
Quận huyện
Tân Phú
",Hộp số Số tự động,Nhiên liệu Xăng
497,"

                Mazda 6 2007
            
",Năm SX 2007,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 12.000 km,"
Quận huyện
Hà Đông
",Hộp số Số tay,Nhiên liệu Xăng
498,"

                Mercedes-Benz GLC 200 2.0 I4 2018
            
",Năm SX 2018,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 30.000 km,"
Quận huyện
Thanh Xuân
",Hộp số Số tự động,Nhiên liệu Xăng
499,"

                Toyota Camry 2.5Q 2016
            
",Năm SX 2016,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 89.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
500,"

                Ford Ranger Wildtrak 2.0L 4x2 AT 2022
            
",Năm SX 2022,Kiểu dáng Bán Tải,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Đống Đa
",Hộp số Số tự động,Nhiên liệu Diesel
501,"

                Toyota Corolla Cross 1.8 G 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nam
",Km đã đi 8.000 km,"
Quận huyện
Phủ Lý
",Hộp số Số tự động,Nhiên liệu Xăng
502,"

                Ford Ranger XLS 2.2 4x2 AT 2022
            
",Năm SX 2022,Kiểu dáng Bán Tải,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Đống Đa
",Hộp số Số tự động,Nhiên liệu Xăng
503,"

                Honda CR-V 2.4 AT 2013
            
",Năm SX 2013,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nam
",Km đã đi 80.000 km,"
Quận huyện
Phủ Lý
",Hộp số Số tự động,Nhiên liệu Xăng
504,"

                Mazda 6 2.0 Premium 2017
            
",Năm SX 2017,Kiểu dáng Sedan,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nam
",Km đã đi 58.000 km,"
Quận huyện
Phủ Lý
",Hộp số Số tự động,Nhiên liệu Xăng
505,"

                Ford Territory 1.5L Titanium 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Nam Từ Liêm
",Hộp số Số tự động,Nhiên liệu Xăng
506,"

                Honda Civic  2022
            
",Năm SX 2022,Kiểu dáng Sedan,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
507,"

                Honda City RS 2022
            
",Năm SX 2022,Kiểu dáng Sedan,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
508,"

                Honda CR-V 1.5 L 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
509,"

                Ford Everest 2.0L ST5 10AT 4x4 Titanium 2023
            
",Năm SX 2023,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Nam Từ Liêm
",Hộp số Số tự động,Nhiên liệu Xăng
510,"

                Hyundai Tucson 1.6 Turbo HTRAC 2021
            
",Năm SX 2021,Kiểu dáng SUV,Tình trạng Xe cũ,Xuất xứ Trong nước,"
Tỉnh thành
Hà Nội
",Km đã đi 13.000 km,"
Quận huyện
Cầu Giấy
",Hộp số Số tự động,Nhiên liệu Xăng
511,"

                Toyota Veloz Cross 1.5 CVT 2023
            
",Năm SX 2023,Kiểu dáng MPV,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Bình Định
",None,"
Quận huyện
Quy Nhơn
",Hộp số Số tự động,Nhiên liệu Xăng
512,"

                Toyota Vios 1.5E MT 2023
            
",Năm SX 2023,Kiểu dáng Sedan,Tình trạng Xe mới,Xuất xứ Trong nước,"
Tỉnh thành
Bình Định
",None,"
Quận huyện
Quy Nhơn
",Hộp số Số tay,Nhiên liệu Xăng
513,"

                Volkswagen Touareg Elegance 2022
            
",Năm SX 2022,Kiểu dáng SUV,Tình trạng Xe mới,Xuất xứ Nhập khẩu,"
Tỉnh thành
Hà Nội
",None,"
Quận huyện
Bắc Từ Liêm
",Hộp số Số tự động,Nhiên liệu Xăng
